Student,LPIPS,SSIM
114054809.png,0.0,1.0
110590455.png,0.20604167878627777,0.7056758229709152
111590028.png,0.2699108421802521,0.6932180851771894
113590051.png,0.29216212034225464,0.6895489959661228
113590056.png,0.2970879077911377,0.6560536898955457
111590047.png,0.2976585328578949,0.7208278153987444
113AC1012.png,0.31210893392562866,0.6324494432253543
113370239.png,0.32069453597068787,0.6805005245214083
113590039.png,0.32368507981300354,0.6600718092215331
113590031.png,0.3260115087032318,0.6489183148503317
113590052.png,0.3330802619457245,0.6280408586942996
113590022.png,0.33332088589668274,0.6584923216487819
113590026.png,0.3354566693305969,0.6884195899336083
113590036.png,0.3362765312194824,0.6399676404141893
113590001.png,0.3392355144023895,0.6323842995659491
113590003.png,0.3401004672050476,0.6441409013348939
113590057.png,0.34024015069007874,0.6316698161022625
113590062.png,0.341352641582489,0.5869018415074526
113590060.png,0.34469807147979736,0.719300219608613
113590045.png,0.3597370684146881,0.5854459154154149
113590015.png,0.3630225658416748,0.6565304178927909
113590021.png,0.36633723974227905,0.6356303953348429
113590061.png,0.3687143921852112,0.6466333252699784
113590018.png,0.37342825531959534,0.592506065120733
113590044.png,0.37362661957740784,0.6265882499868576
112590454.png,0.3813871443271637,0.6123110993848314
111590062.png,0.3817954957485199,0.6484605891824713
112590455.png,0.3821815550327301,0.6397677801865398
112590040.png,0.386575311422348,0.6208360863648114
113590006.png,0.3885352611541748,0.5774462939618655
113590011.png,0.3989641070365906,0.5760834241180907
113590050.png,0.39977195858955383,0.5575547861404541
113590047.png,0.40181705355644226,0.7141001212200045
113590023.png,0.4103797972202301,0.5528492777752451
113590002.png,0.41325604915618896,0.5986686326910284
113AB0018.png,0.41989123821258545,0.5752766681694408
113590010.png,0.42133405804634094,0.6012235825966114
113590004.png,0.4242706000804901,0.7223694589014078
113590025.png,0.4374293088912964,0.7403553087108063
113590043.png,0.44005560874938965,0.7315073255427652
113590042.png,0.442975789308548,0.5775919551405695
113590028.png,0.45193010568618774,0.5531338292562614
111590042.png,0.46786805987358093,0.7425876976517306
113590059.png,0.4729846715927124,0.52569486056918
113590049.png,0.4770132005214691,0.4900857666821388
113590008.png,0.4950340986251831,0.46997730924794234
111590455.png,0.49844133853912354,0.5186288920347861
112590058.jpg,0.51706862449646,0.41739933628634546
